id,Name,Total pop. 1981,Total pop. 1991,Pop. density 1981,Pop. density 1991,% 0-14 years,% 15-24 years,% 25-64 years,% 65 or more years,% male 1981,% female 1981,% male 1991,% female 1991,Abs. pop. change from 1981 to 1991,% pop. change from 1981 to 1991,% female among employed 1991,% unemployed in total pop. 1991,% female among unemployed 1991,% employed in agriculture 1981,% employed in industry 1981,% employed in services 1981,% employed in agriculture 1991,% employed in industry 1991,% employed in services 1991,% pop. no primary school education 1981,% pop. with primary school education 1981,% pop. with preparatory school education 1981,% pop. with high school education 1981,% pop. no primary school education 1991,% pop. with primary school education 1991,% pop. with preparatory school education 1991,% pop. with high school education 1991,total employed in agriculture 1991,total employed in industry 1991,total employed in services 1991,N pop. no primary school education 1991,N pop. with primary school education 1991,N pop. with preparatory school education 1991,N. pop. with high school education 1991
0101,Agueda,43216,44045,129.583,132.069,20.66,16.80,50.29,12.26,48.97,51.03,48.74,51.26,829,1.92,42.22,0.92,60.59,19.98,60.22,19.80,10.88,61.30,27.83,47.48,36.92,6.06,9.534,14.17,29.57,8.73,5.71,2321,13081,5938,6240,13026,3843,2517
0102,Albergaria-a-Velha,21326,21995,136.723,141.012,20.77,16.48,49.32,13.43,48.6,51.4,48.82,51.18,669,3.14,36.66,1.70,64.17,26.07,51.15,22.79,8.45,56.17,35.39,50.48,35.21,4.85,9.460,13.12,28.36,10.60,5.30,741,4927,3104,2886,6238,2331,1165
0103,Anadia,29820,28899,137.337,133.095,19.07,15.98,49.32,15.63,48.29,51.71,48.25,51.75,-921,-3.09,38.97,1.79,68.99,28.71,43.40,27.89,16.64,46.66,36.70,50.20,35.09,5.61,9.101,14.34,29.46,6.33,4.83,2121,5949,4679,4145,8514,1828,1397
0104,Arouca,23896,23894,72.856,72.85,23.79,18.34,43.00,14.87,48.05,51.95,48.59,51.41,-2,-0.01,37.53,1.67,61.31,50.64,28.98,20.38,26.44,45.89,27.67,55.62,30.61,2.39,11.382,19.77,28.65,11.31,2.32,2456,4263,2571,4725,6845,2703,555
0105,Aveiro,60284,66444,301.767,332.602,20.30,16.54,51.81,11.35,48.25,51.75,48.17,51.83,6160,10.22,42.25,2.26,65.56,12.70,41.75,45.55,5.25,36.99,57.76,44.42,36.23,9.51,9.838,11.03,25.68,7.19,7.93,1597,11264,17587,7326,17060,4780,5272
0106,Castelo de Paiva,17026,16515,148.478,144.022,23.62,20.43,45.09,10.86,49.28,50.72,49.37,50.63,-511,-3.00,31.47,3.61,64.66,42.09,35.05,22.87,8.97,62.41,28.62,52.96,32.49,1.90,12.644,16.42,28.34,16.97,2.50,522,3631,1665,2712,4681,2803,413
0107,Espinho,32409,34956,1513.025,1631.933,20.12,18.09,51.37,10.43,47.83,52.17,48.13,51.87,2547,7.86,41.61,3.19,63.68,1.37,55.47,43.16,1.12,48.85,50.03,44.68,35.82,8.59,10.919,11.37,27.50,7.46,7.56,178,7766,7953,3973,9613,2609,2642
0108,Estarreja,26261,26742,242.91,247.359,20.95,16.19,48.66,14.20,48.36,51.64,48.31,51.69,481,1.83,36.53,2.40,65.16,22.85,49.81,27.33,11.28,48.99,39.73,49.83,34.81,5.68,9.675,13.14,28.82,8.48,5.87,1192,5175,4197,3515,7706,2269,1571
0109,Santa Maria da Feira,109531,118641,513.146,555.826,22.20,18.68,50.30,8.83,48.32,51.68,48.53,51.47,9110,8.32,42.08,1.34,52.80,6.20,73.27,20.53,2.20,70.74,27.06,47.79,37.25,3.98,10.979,13.75,30.18,12.52,4.14,1257,40405,15456,16318,35808,14859,4910
0110,Ilhavo,31383,33235,418.161,442.838,21.51,17.08,50.74,10.67,48.26,51.74,48.31,51.69,1852,5.90,38.94,2.79,63.47,20.27,46.71,33.02,14.32,43.15,42.53,45.74,38.04,6.03,10.186,11.77,29.37,8.22,5.58,2030,6118,6031,3912,9762,2731,1853
0111,Mealhada,19305,18272,173.7,164.405,18.88,15.66,50.78,14.68,48.18,51.82,48.2,51.8,-1033,-5.35,37.42,3.20,61.88,20.52,41.49,37.99,10.89,39.09,50.03,49.10,35.96,5.67,9.265,14.03,29.55,7.20,5.71,782,2808,3594,2563,5400,1315,1044
0112,Murtosa,9816,9579,133.279,130.061,21.18,15.86,44.48,18.48,46.59,53.41,48.23,51.77,-237,-2.41,31.74,1.79,61.99,40.61,29.98,29.41,32.75,33.06,34.19,55.95,31.14,2.60,10.314,15.46,31.44,7.53,3.07,1070,1080,1117,1481,3012,721,294
0113,Oliveira de Azemeis,62821,66846,384.438,409.069,21.72,17.91,49.86,10.50,48.93,51.07,48.98,51.02,4025,6.41,42.69,1.08,55.59,11.50,67.79,20.72,4.11,69.51,26.38,48.39,36.68,4.59,10.339,12.18,28.96,12.30,4.76,1366,23119,8775,8142,19360,8219,3181
0114,Oliveira do Bairro,17517,18660,200.699,213.795,18.64,15.59,49.76,16.01,47.31,52.69,47.18,52.82,1143,6.53,43.88,0.96,64.25,45.33,35.64,19.03,30.37,42.09,27.54,52.59,34.73,4.02,8.668,15.80,31.24,9.30,3.94,2743,3801,2487,2948,5829,1736,735
0115,Ovar,45378,49659,302.762,331.325,22.00,18.28,49.03,10.70,47.86,52.14,48.69,51.31,4281,9.43,41.80,2.76,57.17,9.82,60.73,29.45,3.65,60.94,35.41,49.20,34.70,5.35,10.755,13.45,28.46,9.49,5.59,815,13612,7908,6679,14131,4713,2775
0116,Sao Joao da Madeira,16444,18452,2027.62,2275.216,21.81,17.14,51.84,9.21,48.39,51.61,48.29,51.71,2008,12.21,45.13,1.64,53.64,0.94,64.66,34.39,0.35,61.35,38.30,41.12,39.62,9.60,9.658,10.21,28.59,7.78,7.68,33,5792,3616,1884,5275,1436,1417
0117,Sever do Vouga,13783,13826,106.146,106.477,20.86,16.66,47.07,15.41,47.91,52.09,47.79,52.21,43,0.31,41.12,2.54,66.38,47.20,34.87,17.93,27.05,42.89,30.06,52.19,34.54,3.79,9.485,17.04,28.79,12.69,3.43,1521,2411,1690,2356,3981,1755,474
0118,Vagos,18548,19068,111.991,115.131,21.64,17.18,47.13,14.06,46.57,53.43,47.83,52.17,520,2.80,46.85,1.79,54.97,63.17,22.15,14.68,40.79,28.56,30.66,55.48,31.59,2.47,10.456,17.33,28.42,8.82,2.71,3985,2790,2995,3304,5419,1682,517
0119,Vale de Cambra,24224,24537,165.679,167.82,21.32,17.34,47.97,13.37,48.82,51.18,49,51,313,1.29,42.34,1.54,58.09,38.17,43.35,18.48,19.59,51.12,29.29,52.54,33.48,3.97,10.004,15.20,27.85,11.57,4.23,2206,5757,3299,3730,6833,2840,1039
0201,Aljustrel,12870,11990,28.245,26.314,17.89,14.00,49.10,19.01,49.14,50.86,49.67,50.33,-880,-6.84,27.18,6.13,65.17,49.19,20.05,30.77,19.07,38.46,42.47,56.41,31.84,3.66,8.092,23.29,28.17,4.89,4.20,698,1408,1555,2793,3377,586,503
0202,Almodovar,10637,8999,13.71,11.599,17.82,14.02,47.99,20.16,51.4,48.6,51.15,48.85,-1638,-15.40,23.76,5.99,74.95,50.43,24.50,25.07,24.32,33.19,42.49,59.89,30.26,2.07,7.779,27.71,26.47,5.00,4.23,691,943,1207,2494,2382,450,381
0203,Alvito,2968,2650,11.375,10.156,16.76,10.87,47.40,24.98,49.6,50.4,49.13,50.87,-318,-10.71,29.91,2.57,54.41,49.15,18.84,32.01,29.44,20.91,49.65,60.06,28.93,4.12,6.883,28.57,25.92,6.91,3.92,252,179,425,757,687,183,104
0204,Barrancos,2157,2052,12.807,12.183,15.74,15.79,48.39,20.08,47.8,52.2,48.64,51.36,-105,-4.87,17.14,4.73,47.42,42.83,25.44,31.72,26.86,17.67,55.48,61.80,28.37,1.64,8.193,25.58,24.03,10.92,2.63,152,100,314,525,493,224,54
0205,Beja,38246,35827,33.543,31.421,18.48,14.38,49.90,17.25,48.69,51.31,48.09,51.91,-2419,-6.32,37.50,4.50,64.85,20.63,19.01,60.35,12.59,16.44,70.97,52.63,31.42,8.09,7.858,20.08,23.05,4.94,7.59,1721,2247,9701,7194,8258,1770,2718
0206,Castro Verde,7472,7762,13.171,13.682,17.57,13.53,47.96,20.94,48.86,51.14,49.79,50.21,290,3.88,26.20,4.72,70.77,38.25,28.73,33.02,18.86,34.39,46.75,58.49,30.56,3.39,7.565,22.15,27.71,5.14,4.37,514,937,1274,1719,2151,399,339
0207,Cuba,5740,5494,33.506,32.07,17.02,12.32,48.16,22.50,49.63,50.37,49.16,50.84,-246,-4.29,28.21,5.75,63.92,35.83,27.63,36.54,22.95,23.13,53.92,59.10,29.15,4.48,7.274,26.28,26.85,4.59,4.95,384,387,902,1444,1475,252,272
0208,Ferreira do Alentejo,11244,10075,17.34,15.537,18.27,13.26,49.01,19.45,49.55,50.45,49.45,50.55,-1169,-10.40,31.71,6.44,70.11,47.10,22.50,30.39,40.55,19.15,40.30,60.04,30.08,2.69,7.193,26.77,26.72,5.44,3.79,1421,671,1412,2697,2692,548,382
0209,Mertola,11693,9805,9.139,7.664,15.27,12.79,45.11,26.83,49.75,50.25,49.75,50.25,-1888,-16.15,19.95,3.74,65.40,48.62,21.67,29.71,29.43,27.42,43.16,63.14,27.67,2.12,7.068,31.20,24.68,5.42,3.01,733,683,1075,3059,2420,531,295
0210,Moura,19772,17549,20.645,18.324,18.86,14.12,46.58,20.44,49.13,50.87,48.75,51.25,-2223,-11.24,28.73,5.95,65.74,47.29,19.96,32.75,35.93,19.57,44.51,60.07,28.42,3.85,7.651,26.55,25.19,6.43,3.99,2093,1140,2593,4659,4421,1129,701
0211,Odemira,29463,26418,17.132,15.362,16.58,11.91,51.69,19.82,52,48,51.4,48.6,-3045,-10.33,29.42,2.64,45.91,51.81,26.73,21.46,40.04,23.01,36.96,65.78,25.36,1.75,7.109,34.40,23.78,5.99,3.16,3877,2228,3579,9089,6281,1582,834
0212,Ourique,7969,6597,12.072,9.993,14.61,12.43,48.58,24.38,51.21,48.79,50.99,49.01,-1372,-17.22,23.36,3.77,65.86,49.32,21.66,29.02,33.18,21.00,45.82,63.20,27.53,1.98,7.293,31.33,25.94,4.73,4.06,730,462,1008,2067,1711,312,268
0213,Serpa,20784,17915,18.831,16.231,16.82,14.01,48.76,20.41,49.42,50.58,49.34,50.66,-2869,-13.80,26.76,8.53,54.94,58.87,13.06,28.08,33.97,18.84,47.19,59.75,29.00,3.46,7.797,29.10,24.73,7.61,3.51,1856,1029,2578,5213,4431,1364,628
0214,Vidigueira,7405,6305,23.568,20.067,16.86,11.99,48.93,22.22,48.82,51.18,49.45,50.55,-1100,-14.85,28.38,5.69,57.38,45.89,19.02,35.09,25.88,21.32,52.79,60.92,27.82,4.29,6.978,25.80,21.35,4.03,4.20,528,435,1077,1627,1346,254,265
0301,Amares,16478,16715,201.295,204.19,25.35,18.22,43.60,12.82,47.86,52.14,48.29,51.71,237,1.44,37.41,1.62,54.61,34.52,38.02,27.46,17.84,43.78,38.38,55.11,30.22,2.40,12.281,16.60,25.65,9.11,2.71,1062,2606,2285,2775,4288,1523,453
0302,Barcelos,103773,111733,274.024,295.044,25.83,20.50,44.87,8.81,47.96,52.04,48.41,51.59,7960,7.67,45.13,1.22,42.17,25.80,53.74,20.46,10.88,64.29,24.83,50.20,34.06,2.76,12.985,15.62,28.62,14.68,3.27,5600,33089,12778,17448,31981,16404,3653
0303,Braga,124572,141256,678.83,769.746,23.69,19.46,48.15,8.71,48.27,51.73,48.08,51.92,16684,13.39,44.17,2.34,55.64,6.40,49.11,44.49,2.54,47.42,50.04,45.65,34.45,7.70,12.200,12.82,24.60,8.68,7.35,1628,30376,32054,18103,34753,12262,10383
0304,Cabeceiras de Basto,18997,16368,78.865,67.951,24.79,18.84,41.91,14.47,49.21,50.79,49.03,50.97,-2629,-13.84,30.28,2.85,59.53,57.93,20.29,21.78,32.19,32.17,35.63,57.98,27.72,2.21,12.085,24.18,23.50,10.00,2.55,1667,1666,1845,3957,3847,1637,418
0305,Celorico de Basto,22671,21477,125.185,118.592,25.40,18.86,41.44,14.30,48.17,51.83,48.48,51.52,-1194,-5.27,42.54,1.47,56.83,61.96,19.95,18.09,37.60,30.76,31.64,56.82,28.92,2.01,12.249,24.84,26.00,11.16,2.31,2877,2354,2421,5335,5584,2397,496
0306,Esposende,28652,30101,301.03,316.253,25.78,19.00,45.06,10.16,47.86,52.14,47.55,52.45,1449,5.06,46.21,1.52,49.45,33.09,43.45,23.46,18.39,50.37,31.25,51.57,33.32,2.84,12.268,15.09,27.02,15.16,2.99,2589,7093,4400,4543,8134,4564,899
0307,Fafe,45828,47862,209.385,218.678,24.39,18.33,45.88,11.41,47.23,52.77,47.62,52.38,2034,4.44,46.36,2.06,43.16,22.24,56.42,21.34,9.32,64.01,26.67,52.02,33.65,2.60,11.739,18.02,27.58,12.21,2.94,1957,13444,5601,8625,13202,5842,1408
0308,Guimaraes,146959,157589,569.94,611.165,24.92,20.12,47.05,7.91,48.72,51.28,49.11,50.89,10630,7.23,45.86,1.84,46.76,7.65,72.17,20.17,2.74,73.77,23.49,47.35,36.50,3.92,12.239,15.98,30.94,9.20,4.38,2170,58401,18593,25176,48760,14499,6909
0309,Povoa de Lanhoso,21092,21516,159.8,163.012,27.50,17.94,41.43,13.13,48.17,51.83,47.3,52.7,424,2.01,41.54,1.68,55.52,30.68,47.26,22.06,15.90,51.14,32.97,56.78,28.64,2.14,12.451,20.50,26.39,10.27,2.56,1259,4050,2611,4411,5677,2210,551
0310,Terras de Bouro,10131,9406,36.684,34.059,23.09,18.15,42.14,16.62,48.54,51.46,48.34,51.66,-725,-7.16,32.25,3.02,50.35,54.85,22.77,22.38,25.57,30.57,43.86,55.65,29.97,2.28,12.106,22.01,26.20,10.31,2.99,700,837,1201,2070,2464,970,281
0311,Vieira do Minho,17931,15775,81.449,71.656,23.58,17.20,42.69,16.53,49.1,50.9,49.51,50.49,-2156,-12.02,33.69,3.49,45.09,49.96,28.36,21.67,22.46,35.63,41.92,55.57,30.91,2.51,11.006,19.77,25.62,9.41,2.58,1035,1642,1932,3118,4042,1485,407
0312,Vila Nova de Famalicao,106508,114338,527.659,566.45,23.31,19.85,48.79,8.06,49,51,49.13,50.87,7830,7.35,44.89,1.67,46.49,5.38,75.43,19.19,2.59,74.20,23.20,48.43,35.51,3.90,12.159,14.55,28.95,12.48,4.59,1488,42567,13312,16634,33101,14275,5243
0313,Vila Verde,44432,44056,195.563,193.908,25.85,18.43,42.63,13.10,47.33,52.67,47.43,52.57,-376,-0.85,41.65,1.54,50.00,40.38,38.72,20.90,24.10,45.98,29.92,56.17,29.17,2.22,12.445,20.38,25.92,10.77,2.61,3892,7427,4833,8980,11418,4744,1148
0401,Alfandega da Fe,7925,6734,24.615,20.916,17.63,14.76,47.48,20.14,50.04,49.96,49.91,50.09,-1191,-15.03,30.19,3.25,65.75,57.56,19.29,23.15,39.63,15.33,45.05,55.43,31.77,3.28,9.515,19.97,30.46,4.63,4.22,848,328,964,1345,2051,312,284
0402,Braganca,35380,33055,30.138,28.158,19.42,15.97,48.44,16.17,49.58,50.42,49.2,50.8,-2325,-6.57,37.34,1.95,60.40,36.13,18.38,45.49,24.77,15.76,59.47,50.60,32.40,7.19,9.804,18.17,23.44,4.55,5.84,2889,1838,6936,6006,7749,1505,1929
0403,Carrazeda de Ansiaes,11420,9235,40.654,32.875,19.97,13.94,46.32,19.77,48.62,51.38,48.49,51.51,-2185,-19.13,23.63,2.46,55.51,59.13,17.16,23.72,56.62,13.90,29.48,56.12,31.99,2.61,9.283,22.00,29.64,4.47,2.20,1483,364,772,2032,2737,413,203
0404,Freixo de Espada a Cinta,5717,4914,23.383,20.099,15.95,11.91,49.86,22.28,48.87,51.13,48.05,51.95,-803,-14.05,28.31,1.89,67.74,53.28,16.89,29.83,42.54,18.80,38.66,57.64,30.04,3.51,8.813,26.70,29.08,5.03,3.52,604,267,549,1312,1429,247,173
0405,Macedo de Cavaleiros,21608,18930,30.901,27.071,21.17,16.78,46.04,16.01,50.1,49.9,49.84,50.16,-2678,-12.39,22.53,1.64,49.03,62.79,15.74,21.46,37.68,19.45,42.88,54.38,31.97,3.31,10.334,20.44,27.34,5.40,3.78,2013,1039,2291,3870,5175,1022,715
0406,Miranda do Douro,9948,8697,20.37,17.809,16.08,14.03,50.03,19.87,49.87,50.13,49.29,50.71,-1251,-12.58,29.38,1.13,52.04,52.03,22.73,25.24,38.17,19.37,42.46,57.56,29.37,5.14,7.936,22.66,26.32,5.74,4.45,1086,551,1208,1971,2289,499,387
0407,Mirandela,28879,25209,43.859,38.285,20.97,15.59,47.82,15.62,49.36,50.64,49.15,50.85,-3670,-12.71,31.82,3.64,64.78,42.33,23.33,34.34,31.48,18.87,49.65,53.66,31.60,4.61,10.132,20.10,27.16,6.18,4.64,2660,1595,4196,5067,6847,1558,1169
0408,Mogadouro,15340,12188,20.238,16.08,18.28,14.34,47.48,19.90,50.59,49.41,49.99,50.01,-3152,-20.55,30.67,2.63,61.68,59.60,18.60,21.81,37.81,15.75,46.44,55.98,30.47,4.72,8.831,23.47,24.61,5.41,2.99,1568,653,1926,2861,2999,659,364
0409,Torre de Moncorvo,13674,10969,25.666,20.589,17.94,12.68,47.25,22.13,48.39,51.61,47.94,52.06,-2705,-19.78,29.03,2.17,66.39,55.59,17.76,26.66,44.16,15.70,40.14,54.64,32.31,5.33,7.720,23.76,29.43,4.27,3.96,1418,504,1289,2606,3228,468,434
0410,Vila Flor,9719,8828,36.604,33.248,19.53,17.08,46.52,20.27,49.13,50.87,48.74,51.26,-891,-9.17,24.60,2.72,69.17,50.28,23.30,26.42,43.86,20.08,36.06,53.78,32.85,3.67,9.700,20.46,28.78,6.98,3.17,1339,613,1101,1806,2541,616,280
0411,Vimioso,8500,6323,17.654,13.133,18.62,12.86,47.40,21.13,50.54,49.46,49.63,50.37,-2177,-25.61,35.25,3.38,44.86,61.85,14.94,23.21,32.51,14.01,53.48,58.12,29.38,3.18,9.319,27.30,27.22,6.31,2.25,594,256,977,1726,1721,399,142
0412,Vinhais,16142,12727,23.237,18.321,17.60,14.32,46.06,22.02,50.71,49.29,50.09,49.91,-3415,-21.16,29.99,1.59,67.33,66.99,12.03,20.98,59.91,9.55,30.54,58.59,29.48,2.11,9.817,24.88,24.79,7.44,1.96,2327,371,1186,3167,3155,947,250
0501,Belmonte,6465,7411,56.433,64.691,16.99,13.02,50.18,19.81,50.09,49.91,47.27,52.73,946,14.63,42.50,1.17,36.78,32.81,36.26,30.93,19.66,43.91,36.44,54.88,32.90,4.99,7.228,23.80,29.47,4.72,4.26,600,1340,1112,1764,2184,350,316
0502,Castelo Branco,54908,54310,38.132,37.717,16.46,14.03,50.16,19.35,47.6,52.4,47.63,52.37,-598,-1.09,40.01,1.98,63.10,18.90,36.33,44.77,9.52,35.74,54.74,52.73,32.23,7.80,7.240,19.73,26.63,5.42,6.99,2016,7567,11592,10717,14465,2945,3798
0503,Covilha,60945,53999,109.529,97.045,18.62,15.29,50.38,15.70,48.36,51.64,53.56,46.44,-6946,-11.40,42.47,3.25,57.70,15.23,53.67,31.10,6.25,54.43,39.32,50.66,34.29,6.45,8.603,18.54,27.63,6.93,5.81,1321,11507,8314,10009,14918,3741,3137
0504,Fundao,32089,31687,45.734,45.161,17.37,13.43,47.68,21.52,47.8,52.2,48.11,51.89,-402,-1.25,36.93,1.76,53.68,41.38,27.38,31.24,22.30,33.70,44.00,58.31,30.20,4.48,7.021,25.88,26.15,5.92,3.91,2429,3671,4792,8200,8285,1875,1238
0505,Idanha-a-Nova,16101,13630,11.397,9.648,12.07,9.58,43.15,35.20,47.39,52.61,47.18,52.82,-2471,-15.35,28.57,1.72,60.26,55.51,19.00,25.48,41.77,20.81,37.43,68.16,23.15,3.29,5.397,37.86,21.74,3.43,2.88,1367,681,1225,5160,2963,468,392
0506,Oleiros,10183,7767,21.874,16.685,15.10,10.09,48.67,26.14,49.38,50.62,48.51,51.49,-2416,-23.73,29.16,0.55,67.44,64.25,18.17,17.58,42.15,21.45,36.40,61.56,29.27,2.21,6.970,32.75,29.06,3.75,2.38,967,492,835,2544,2257,291,185
