id,Name,Cluster,N events,X-extent,Y-extent,Diagonal extent,Area; sq.km,Begin time,End time,Duration; seconds,Duration; minutes,Duration; hours,Duration; days,Duration; months,Duration; years
1,Cluster 1,1,50,39688.78,25318.58,44214.06,230.04,03/05/2015 16:08:37,18/05/2015 15:02:07,1292010,21533.50,358.89,14.95,0.50,0.04
2,Cluster 2,2,502,54127.10,38888.36,65921.30,1682.10,19/02/2011 16:08:29,03/05/2011 11:04:29,6288960,104816.00,1746.93,72.79,2.43,0.20
3,Cluster 3,3,163,54508.52,23133.66,58382.07,667.30,05/03/2016 13:08:19,19/04/2016 01:41:58,3846819,64113.65,1068.56,44.52,1.48,0.12
4,Cluster 4,4,87,39627.00,32841.75,46362.53,945.13,12/03/2014 16:17:23,02/05/2014 06:25:16,4370873,72847.88,1214.13,50.59,1.69,0.14
5,Cluster 5,5,48,23513.23,50606.20,54399.88,642.32,01/03/2014 06:35:02,27/04/2014 14:18:18,4952596,82543.27,1375.72,57.32,1.91,0.16
6,Cluster 6,6,218,37046.35,32190.64,48585.07,526.62,18/02/2015 11:02:04,27/04/2015 22:05:07,5914983,98583.05,1643.05,68.46,2.28,0.19
7,Cluster 7,7,254,69172.48,25265.14,72545.89,1186.10,17/03/2014 08:44:08,29/04/2014 17:47:49,3747821,62463.68,1041.06,43.38,1.45,0.12
8,Cluster 8,8,96,107336.91,53856.23,116092.28,2571.69,11/04/2015 13:17:57,19/05/2015 01:47:12,3241755,54029.25,900.49,37.52,1.25,0.10
9,Cluster 9,9,398,86333.81,89738.04,123318.97,3088.90,16/03/2010 17:39:49,16/04/2010 08:25:42,2645153,44085.88,734.76,30.62,1.02,0.08
10,Cluster 10,10,401,40925.04,45711.22,60907.43,1238.31,19/03/2013 12:06:58,03/05/2013 06:48:27,3868889,64481.48,1074.69,44.78,1.49,0.12
11,Cluster 11,11,362,79041.79,94195.69,122038.27,4177.71,14/03/2009 13:26:01,09/05/2009 17:45:12,4853951,80899.18,1348.32,56.18,1.87,0.15
12,Cluster 12,12,424,40192.41,47517.36,61792.67,1241.67,12/02/2012 19:08:42,16/04/2012 21:37:05,5538503,92308.38,1538.47,64.10,2.14,0.18
13,Cluster 13,13,13,41667.74,44691.08,61130.57,606.64,10/02/2007 19:05:20,24/02/2007 16:00:25,1198505,19975.08,332.92,13.87,0.46,0.04
14,Cluster 14,14,78,77418.06,32264.45,80777.30,1617.28,24/03/2010 17:39:47,10/05/2010 11:52:31,4039964,67332.73,1122.21,46.76,1.56,0.13
15,Cluster 15,15,61,86363.36,39822.82,91669.42,1880.16,21/04/2007 04:17:58,09/05/2007 19:54:31,1611393,26856.55,447.61,18.65,0.62,0.05
16,Cluster 16,16,217,57635.79,64840.24,86055.98,1211.81,25/03/2007 15:03:00,28/04/2007 11:58:08,2926508,48775.13,812.92,33.87,1.13,0.09
17,Cluster 17,17,100,43256.55,10013.08,37048.00,272.67,17/02/2015 09:04:58,25/04/2015 18:30:00,5822702,97045.03,1617.42,67.39,2.25,0.18
18,Cluster 18,18,86,70023.29,52808.09,85207.40,2833.60,28/03/2009 06:43:05,09/05/2009 10:52:06,3643741,60729.02,1012.15,42.17,1.41,0.12
19,Cluster 19,19,63,20834.54,10682.00,23387.88,86.31,17/03/2013 13:56:56,21/04/2013 16:31:05,3033249,50554.15,842.57,35.11,1.17,0.10
20,Cluster 20,20,316,50363.91,63474.82,80463.96,1719.24,12/02/2008 11:02:56,02/05/2008 12:43:03,6918007,115300.12,1921.67,80.07,2.67,0.22
21,Cluster 21,21,42,24672.27,29060.65,35867.51,459.56,18/03/2008 19:07:34,09/05/2008 12:09:31,4467717,74461.95,1241.03,51.71,1.72,0.14
22,Cluster 22,22,41,40572.49,19713.11,40948.82,391.40,21/02/2010 12:15:00,02/04/2010 23:52:20,3497840,58297.33,971.62,40.48,1.35,0.11
23,Cluster 23,23,53,39007.86,41230.23,55617.84,973.34,16/03/2016 11:34:07,11/05/2016 12:44:52,4842645,80710.75,1345.18,56.05,1.87,0.15
24,Cluster 24,24,57,42609.88,27842.85,44831.65,589.56,29/03/2009 09:21:36,09/05/2009 12:13:26,3552710,59211.83,986.86,41.12,1.37,0.11
25,Cluster 25,25,84,60568.98,26215.29,63597.78,870.52,23/03/2008 12:32:17,11/05/2008 14:38:48,4241191,70686.52,1178.11,49.09,1.64,0.13
26,Cluster 26,26,126,75880.95,70737.54,101428.20,2730.97,26/03/2013 19:09:19,08/05/2013 19:19:24,3715805,61930.08,1032.17,43.01,1.43,0.12
27,Cluster 27,27,43,58810.27,42966.38,71345.68,1338.65,28/03/2013 10:52:38,01/05/2013 19:08:26,2967348,49455.80,824.26,34.34,1.14,0.09
28,Cluster 28,28,50,20870.80,22773.53,30858.80,130.39,15/03/2008 11:22:01,27/04/2008 16:00:29,3731908,62198.47,1036.64,43.19,1.44,0.12
29,Cluster 29,29,55,20310.76,27986.22,33565.10,300.51,06/04/2010 15:52:26,06/05/2010 20:24:16,2608310,43471.83,724.53,30.19,1.01,0.08
30,Cluster 30,30,56,30531.94,20871.96,33321.87,318.34,18/03/2013 14:23:07,14/04/2013 12:18:19,2325312,38755.20,645.92,26.91,0.90,0.07
31,Cluster 31,31,57,35671.08,35731.23,46295.84,743.39,04/03/2016 13:36:28,20/04/2016 18:34:36,4078688,67978.13,1132.97,47.21,1.57,0.13
32,Cluster 32,32,90,35308.46,22613.62,36877.38,475.69,09/03/2013 19:05:28,05/05/2013 17:21:55,4918587,81976.45,1366.27,56.93,1.90,0.16
33,Cluster 33,33,17,38657.32,59318.33,70822.82,857.60,31/01/2009 12:00:28,15/02/2009 02:40:56,1262428,21040.47,350.67,14.61,0.49,0.04
34,Cluster 34,34,67,26296.00,31901.35,39923.44,345.05,27/04/2011 11:35:47,01/06/2011 13:23:43,3030476,50507.93,841.80,35.07,1.17,0.10
35,Cluster 35,35,112,63160.37,29327.46,67175.14,1258.20,11/03/2012 10:42:12,01/05/2012 22:47:11,4449899,74164.98,1236.08,51.50,1.72,0.14
36,Cluster 36,36,61,35169.45,16011.33,35909.68,322.92,01/05/2013 06:14:40,29/05/2013 16:29:49,2456109,40935.15,682.25,28.43,0.95,0.08
37,Cluster 37,37,81,50288.03,39344.35,58137.19,985.62,19/03/2009 17:00:51,15/05/2009 16:44:24,4923813,82063.55,1367.73,56.99,1.90,0.16
38,Cluster 38,38,53,37840.08,10104.27,32796.70,246.07,15/03/2008 23:38:09,11/05/2008 10:41:40,4878211,81303.52,1355.06,56.46,1.88,0.15
39,Cluster 39,39,43,25878.32,12375.73,25259.44,162.03,08/03/2007 13:19:16,12/04/2007 08:27:09,3006473,50107.88,835.13,34.80,1.16,0.10
40,Cluster 40,40,22,30229.76,21222.75,33352.69,425.03,29/02/2016 11:20:56,31/03/2016 18:02:04,2702468,45041.13,750.69,31.28,1.04,0.08
41,Cluster 41,41,59,39028.00,31260.00,47397.00,630.99,30/03/2012 19:08:26,03/05/2012 20:29:14,2942448,49040.80,817.35,34.06,1.14,0.09
42,Cluster 42,42,122,53800.74,54120.49,74629.86,1459.37,20/03/2011 13:38:49,20/05/2011 07:23:01,5247852,87464.20,1457.74,60.74,2.02,0.17
43,Cluster 43,43,27,48639.45,36903.65,56723.42,896.74,28/02/2015 14:46:44,13/04/2015 11:42:21,3790537,63175.62,1052.93,43.87,1.46,0.12
44,Cluster 44,44,20,3591.28,18335.81,18608.58,32.96,09/03/2014 13:59:57,24/03/2014 11:36:17,1287380,21456.33,357.61,14.90,0.50,0.04
45,Cluster 45,45,16,17599.16,7146.50,17143.56,66.93,05/03/2008 18:29:27,01/04/2008 00:00:00,2266233,37770.55,629.51,26.23,0.87,0.07
46,Cluster 46,46,13,15787.41,23606.19,27656.96,118.35,12/05/2014 13:23:20,22/05/2014 10:55:04,855104,14251.73,237.53,9.90,0.33,0.03
47,Cluster 47,47,79,36685.07,53955.48,62967.94,1090.43,08/03/2013 10:56:40,16/04/2013 15:56:45,3387605,56460.08,941.00,39.21,1.31,0.11
48,Cluster 48,48,16,32597.54,35892.84,48469.92,728.93,10/02/2013 12:09:10,09/03/2013 13:21:54,2337164,38952.73,649.21,27.05,0.90,0.07
49,Cluster 49,49,79,58724.32,36505.77,66994.94,1197.66,13/04/2014 16:13:00,15/05/2014 08:45:44,2737964,45632.73,760.55,31.69,1.06,0.09
50,Cluster 50,50,20,49110.86,17042.08,54114.49,436.38,19/03/2009 17:12:15,25/04/2009 12:39:49,3180454,53007.57,883.46,36.81,1.23,0.10
51,Cluster 51,51,15,49570.85,14536.48,53846.69,334.92,10/04/2010 11:56:49,06/05/2010 13:20:43,2251434,37523.90,625.40,26.06,0.87,0.07
52,Cluster 52,52,76,36556.81,27626.52,40890.46,518.53,20/03/2012 18:19:07,06/05/2012 14:00:16,4045269,67421.15,1123.69,46.82,1.56,0.13
53,Cluster 53,53,60,41276.25,55729.81,69381.60,682.76,14/03/2009 12:09:32,28/04/2009 17:27:24,3907072,65117.87,1085.30,45.22,1.51,0.12
54,Cluster 54,54,129,51653.23,35592.10,55548.66,1220.77,15/03/2011 13:28:50,17/05/2011 07:31:27,5421757,90362.62,1506.04,62.75,2.09,0.17
55,Cluster 55,55,13,37583.56,14546.23,39212.49,235.99,03/04/2012 11:52:04,28/04/2012 21:27:07,2194503,36575.05,609.58,25.40,0.85,0.07
56,Cluster 56,56,60,26144.91,15132.44,26920.03,221.66,10/03/2011 13:34:15,16/05/2011 08:05:45,5769090,96151.50,1602.53,66.77,2.23,0.18
57,Cluster 57,57,23,21359.67,17326.28,26099.77,140.16,29/04/2009 12:37:33,15/05/2009 18:02:37,1401904,23365.07,389.42,16.23,0.54,0.04
58,Cluster 58,58,21,29617.34,26365.87,39591.72,94.42,29/01/2012 11:45:38,03/03/2012 00:44:57,2897959,48299.32,804.99,33.54,1.12,0.09
59,Cluster 59,59,25,21389.89,15167.65,24261.69,137.96,15/03/2009 15:53:35,11/04/2009 13:09:56,2322981,38716.35,645.27,26.89,0.90,0.07
60,Cluster 60,60,23,25106.74,35094.12,41546.00,418.05,04/03/2016 15:27:51,04/04/2016 14:54:16,2676385,44606.42,743.44,30.98,1.03,0.08
61,Cluster 61,61,10,1223.51,908.58,1522.45,0.08,10/04/2016 02:03:24,17/04/2016 14:11:41,648497,10808.28,180.14,7.51,0.25,0.02
62,Cluster 62,62,28,19777.57,11427.27,22806.38,76.71,07/04/2015 18:35:27,27/04/2015 22:45:36,1743009,29050.15,484.17,20.17,0.67,0.05
63,Cluster 63,63,70,20261.07,40641.48,45413.84,443.14,18/03/2012 18:10:55,07/05/2012 09:29:50,4288735,71478.92,1191.32,49.64,1.65,0.14
64,Cluster 64,64,34,17458.82,9112.55,17944.09,69.29,01/04/2011 08:22:15,20/04/2011 17:11:54,1673379,27889.65,464.83,19.37,0.65,0.05
65,Cluster 65,65,28,11223.09,45685.77,46677.21,324.18,05/03/2015 08:02:07,30/03/2015 11:57:23,2174116,36235.27,603.92,25.16,0.84,0.07
66,Cluster 66,66,48,22160.79,38663.55,43020.57,460.15,09/02/2010 15:36:39,01/04/2010 00:00:00,4350201,72503.35,1208.39,50.35,1.68,0.14
67,Cluster 67,67,19,16695.30,14615.80,21142.77,26.59,26/04/2008 12:44:21,22/05/2008 20:04:55,2272834,37880.57,631.34,26.31,0.88,0.07
68,Cluster 68,68,23,47791.32,55326.84,73129.43,1148.07,03/02/2011 09:17:27,22/02/2011 00:27:54,1609827,26830.45,447.17,18.63,0.62,0.05
69,Cluster 69,69,65,14348.34,25107.77,28917.80,129.15,06/03/2010 15:45:28,24/04/2010 16:54:48,4237760,70629.33,1177.16,49.05,1.63,0.13
70,Cluster 70,70,16,35690.55,36750.10,50461.18,394.43,11/03/2012 17:51:34,26/03/2012 17:38:28,1295214,21586.90,359.78,14.99,0.50,0.04
71,Cluster 71,71,43,42340.60,24030.36,42402.04,487.26,14/03/2007 11:39:59,05/05/2007 08:46:19,4482380,74706.33,1245.11,51.88,1.73,0.14
72,Cluster 72,72,78,50869.56,54373.72,74497.04,1162.89,25/03/2011 13:24:45,01/05/2011 12:28:04,3193399,53223.32,887.06,36.96,1.23,0.10
73,Cluster 73,73,21,13007.32,26905.42,29883.54,95.98,02/04/2014 15:25:28,26/04/2014 15:23:26,2073478,34557.97,575.97,24.00,0.80,0.07
74,Cluster 74,74,55,27113.24,58553.54,62933.19,661.71,10/03/2012 03:44:43,30/04/2012 10:48:54,4431851,73864.18,1231.07,51.29,1.71,0.14
75,Cluster 75,75,59,42190.18,24794.73,42742.44,785.57,06/02/2010 11:01:49,21/04/2010 07:29:36,6380867,106347.78,1772.46,73.85,2.46,0.20
76,Cluster 76,76,35,20789.55,36784.46,41130.79,388.05,07/03/2007 10:19:40,07/04/2007 07:03:40,2666640,44444.00,740.73,30.86,1.03,0.08
77,Cluster 77,77,23,23498.46,40454.42,46386.86,517.36,02/04/2011 15:06:23,17/04/2011 11:26:19,1282796,21379.93,356.33,14.85,0.49,0.04
78,Cluster 78,78,17,34790.72,26001.50,42513.72,452.11,25/03/2008 16:41:50,20/04/2008 17:42:29,2250039,37500.65,625.01,26.04,0.87,0.07
79,Cluster 79,79,14,15671.23,21322.85,25871.72,90.35,14/04/2012 12:31:41,24/04/2012 18:05:09,884008,14733.47,245.56,10.23,0.34,0.03
80,Cluster 80,80,15,20527.66,12104.68,23794.31,16.90,17/03/2007 13:02:12,04/04/2007 23:44:44,1593752,26562.53,442.71,18.45,0.61,0.05
81,Cluster 81,81,17,18461.39,12900.86,22035.74,70.41,11/04/2015 14:11:02,19/04/2015 09:13:33,673351,11222.52,187.04,7.79,0.26,0.02
82,Cluster 82,82,21,20857.37,21166.33,29248.78,195.75,24/03/2010 00:00:00,14/04/2010 16:41:30,1874490,31241.50,520.69,21.70,0.72,0.06
83,Cluster 83,83,15,34209.18,8795.27,36822.97,148.32,10/03/2013 17:10:01,04/04/2013 08:15:02,2127901,35465.02,591.08,24.63,0.82,0.07
84,Cluster 84,84,11,50814.50,44028.52,69080.12,1566.08,25/02/2012 17:06:40,20/03/2012 09:22:04,2045724,34095.40,568.26,23.68,0.79,0.07
85,Cluster 85,85,18,37744.73,1952.05,33460.24,33.90,16/03/2012 23:06:43,12/04/2012 13:10:29,2297026,38283.77,638.06,26.59,0.89,0.07
86,Cluster 86,86,10,25647.99,16142.40,31304.86,227.36,21/03/2012 11:31:19,08/04/2012 17:42:44,1577485,26291.42,438.19,18.26,0.61,0.05
87,Cluster 87,87,10,30693.78,9921.88,33734.79,47.67,02/03/2013 09:59:45,22/03/2013 17:53:03,1756398,29273.30,487.89,20.33,0.68,0.05
88,Cluster 88,88,10,8925.83,4777.91,10609.42,1.79,19/03/2009 17:04:24,29/03/2009 20:17:09,875565,14592.75,243.21,10.13,0.34,0.03
89,Cluster 89,89,18,15616.17,9153.70,17671.69,54.52,12/04/2014 13:46:16,26/04/2014 15:32:23,1215967,20266.12,337.77,14.07,0.47,0.04
90,Cluster 90,90,20,5489.67,2043.68,5850.06,3.27,14/04/2007 12:41:05,07/05/2007 07:49:32,1969707,32828.45,547.14,22.80,0.76,0.06
91,Cluster 91,91,14,10261.48,7213.94,13061.46,12.92,19/03/2011 00:00:00,27/03/2011 15:51:25,748285,12471.42,207.86,8.66,0.29,0.02
92,Cluster 92,92,14,6696.39,6738.44,9191.29,26.59,17/04/2011 14:01:33,13/05/2011 08:14:57,2225604,37093.40,618.22,25.76,0.86,0.07
93,Cluster 93,93,19,6527.83,9404.81,11207.28,28.04,11/04/2013 18:23:26,10/05/2013 13:41:51,2488705,41478.42,691.31,28.80,0.96,0.08
94,Cluster 94,94,15,20659.28,14812.62,25393.44,134.40,30/01/2010 14:36:10,17/02/2010 06:30:03,1526033,25433.88,423.90,17.66,0.59,0.05
95,Cluster 95,95,11,14552.48,31303.27,34330.69,116.72,13/03/2016 09:32:16,03/04/2016 19:41:26,1850950,30849.17,514.15,21.42,0.71,0.06
96,Cluster 96,96,11,11314.42,24354.86,26130.29,95.08,14/02/2010 14:07:03,12/03/2010 08:25:35,2225912,37098.53,618.31,25.76,0.86,0.07
97,Cluster 97,97,12,11797.24,2835.61,11446.02,17.28,24/04/2013 09:04:36,19/05/2013 08:28:31,2157835,35963.92,599.40,24.97,0.83,0.07
